ATS 9870 settings:
S-param: S21	Power level: -3	Port 1 Attn: 10
Port 2 Attn: 0	Ref (dB): 10	Resolution (dB): 10
Averaging?: ON		Average count: 500

!DATASTR!
Freq	data 
(GHz)	(dB or deg.)
3.000000000000000E+9	-1.329531955718994E+1
3.000312304809494E+9	-1.325419235229492E+1
3.000624609618988E+9	-1.347268772125244E+1
3.000936914428482E+9	-1.334222316741943E+1
3.001249219237976E+9	-1.342045307159424E+1
3.001561524047470E+9	-1.339032077789307E+1
3.001873828856965E+9	-1.341316890716553E+1
3.002186133666459E+9	-1.349176216125488E+1
3.002498438475953E+9	-1.358414363861084E+1
3.002810743285447E+9	-1.358933830261230E+1
3.003123048094941E+9	-1.364074325561523E+1
3.003435352904435E+9	-1.366081428527832E+1
3.003747657713929E+9	-1.373692607879639E+1
3.004059962523423E+9	-1.384816169738770E+1
3.004372267332917E+9	-1.376930427551270E+1
3.004684572142411E+9	-1.384845066070557E+1
3.004996876951905E+9	-1.389209079742432E+1
3.005309181761399E+9	-1.388715171813965E+1
3.005621486570893E+9	-1.396684837341309E+1
3.005933791380387E+9	-1.390451812744141E+1
3.006246096189881E+9	-1.396049213409424E+1
3.006558400999375E+9	-1.391469478607178E+1
3.006870705808869E+9	-1.402965927124023E+1
3.007183010618363E+9	-1.392480087280273E+1
3.007495315427857E+9	-1.400237846374512E+1
3.007807620237351E+9	-1.406139087677002E+1
3.008119925046846E+9	-1.402039909362793E+1
3.008432229856340E+9	-1.405189704895020E+1
3.008744534665834E+9	-1.413122844696045E+1
3.009056839475328E+9	-1.411031436920166E+1
3.009369144284822E+9	-1.416194152832031E+1
3.009681449094316E+9	-1.420439052581787E+1
3.009993753903810E+9	-1.412444782257080E+1
3.010306058713304E+9	-1.417522716522217E+1
3.010618363522798E+9	-1.415025424957275E+1
3.010930668332293E+9	-1.415849781036377E+1
3.011242973141787E+9	-1.418451213836670E+1
3.011555277951281E+9	-1.426572132110596E+1
3.011867582760775E+9	-1.423001098632812E+1
3.012179887570269E+9	-1.422209739685059E+1
3.012492192379763E+9	-1.426410102844238E+1
3.012804497189257E+9	-1.429358291625977E+1
3.013116801998751E+9	-1.427298736572266E+1
3.013429106808245E+9	-1.430042171478271E+1
3.013741411617739E+9	-1.431704425811768E+1
3.014053716427233E+9	-1.432773303985596E+1
3.014366021236727E+9	-1.436026859283447E+1
3.014678326046221E+9	-1.435558128356934E+1
3.014990630855715E+9	-1.435584068298340E+1
3.015302935665209E+9	-1.433255004882812E+1
3.015615240474703E+9	-1.427074050903320E+1
3.015927545284197E+9	-1.428993606567383E+1
3.016239850093691E+9	-1.430795860290527E+1
3.016552154903185E+9	-1.438049507141113E+1
3.016864459712679E+9	-1.434980583190918E+1
3.017176764522174E+9	-1.434674644470215E+1
3.017489069331668E+9	-1.429602909088135E+1
3.017801374141162E+9	-1.431681156158447E+1
3.018113678950656E+9	-1.441912937164307E+1
3.018425983760150E+9	-1.431877422332764E+1
3.018738288569644E+9	-1.434344100952148E+1
3.019050593379138E+9	-1.438912391662598E+1
3.019362898188632E+9	-1.439745712280273E+1
3.019675202998126E+9	-1.430749130249023E+1
3.019987507807620E+9	-1.436760711669922E+1
3.020299812617114E+9	-1.435915851593018E+1
3.020612117426609E+9	-1.431729984283447E+1
3.020924422236103E+9	-1.439113426208496E+1
3.021236727045597E+9	-1.442306423187256E+1
3.021549031855091E+9	-1.435738754272461E+1
3.021861336664585E+9	-1.438708209991455E+1
3.022173641474079E+9	-1.432667160034180E+1
3.022485946283573E+9	-1.412151718139648E+1
3.022798251093067E+9	-1.424338150024414E+1
3.023110555902561E+9	-1.428334522247314E+1
3.023422860712055E+9	-1.430759811401367E+1
3.023735165521549E+9	-1.426262474060059E+1
3.024047470331043E+9	-1.431914138793945E+1
3.024359775140537E+9	-1.423524761199951E+1
3.024672079950031E+9	-1.425674152374268E+1
3.024984384759525E+9	-1.428813266754150E+1
3.025296689569019E+9	-1.415213871002197E+1
3.025608994378513E+9	-1.417296695709229E+1
3.025921299188007E+9	-1.419031524658203E+1
3.026233603997501E+9	-1.418707561492920E+1
3.026545908806995E+9	-1.413300800323486E+1
3.026858213616490E+9	-1.421570968627930E+1
3.027170518425984E+9	-1.413327312469482E+1
3.027482823235478E+9	-1.416431522369385E+1
3.027795128044972E+9	-1.413865089416504E+1
3.028107432854466E+9	-1.402927303314209E+1
3.028419737663960E+9	-1.401810264587402E+1
3.028732042473454E+9	-1.406377983093262E+1
3.029044347282948E+9	-1.406545162200928E+1
3.029356652092442E+9	-1.398219871520996E+1
3.029668956901937E+9	-1.396288013458252E+1
3.029981261711431E+9	-1.395694828033447E+1
3.030293566520925E+9	-1.387204265594482E+1
3.030605871330419E+9	-1.394510936737061E+1
3.030918176139913E+9	-1.391868209838867E+1
3.031230480949407E+9	-1.391504573822021E+1
3.031542785758901E+9	-1.384027767181396E+1
3.031855090568395E+9	-1.392491340637207E+1
3.032167395377889E+9	-1.391912364959717E+1
3.032479700187383E+9	-1.393382167816162E+1
3.032792004996877E+9	-1.395633316040039E+1
3.033104309806371E+9	-1.393461322784424E+1
3.033416614615865E+9	-1.395147991180420E+1
3.033728919425359E+9	-1.381116580963135E+1
3.034041224234853E+9	-1.391390705108643E+1
3.034353529044347E+9	-1.399547290802002E+1
3.034665833853841E+9	-1.388708305358887E+1
3.034978138663335E+9	-1.392267322540283E+1
3.035290443472829E+9	-1.394789505004883E+1
3.035602748282323E+9	-1.389138889312744E+1
3.035915053091818E+9	-1.390902328491211E+1
3.036227357901312E+9	-1.387712955474854E+1
3.036539662710806E+9	-1.385967254638672E+1
3.036851967520300E+9	-1.378921031951904E+1
3.037164272329794E+9	-1.386097335815430E+1
3.037476577139288E+9	-1.376661205291748E+1
3.037788881948782E+9	-1.380492591857910E+1
3.038101186758276E+9	-1.382651519775391E+1
3.038413491567770E+9	-1.381568527221680E+1
3.038725796377264E+9	-1.378243541717529E+1
3.039038101186758E+9	-1.376989555358887E+1
3.039350405996253E+9	-1.380219650268555E+1
3.039662710805747E+9	-1.376865673065186E+1
3.039975015615241E+9	-1.372160053253174E+1
3.040287320424735E+9	-1.379243564605713E+1
3.040599625234229E+9	-1.389371299743652E+1
3.040911930043723E+9	-1.385515689849854E+1
3.041224234853217E+9	-1.379158401489258E+1
3.041536539662711E+9	-1.386123085021973E+1
3.041848844472205E+9	-1.381440353393555E+1
3.042161149281699E+9	-1.374861049652100E+1
3.042473454091193E+9	-1.377010726928711E+1
3.042785758900687E+9	-1.372074699401855E+1
3.043098063710181E+9	-1.371997833251953E+1
3.043410368519675E+9	-1.374980449676514E+1
3.043722673329169E+9	-1.371858119964600E+1
3.044034978138663E+9	-1.368636131286621E+1
3.044347282948157E+9	-1.365266895294189E+1
3.044659587757651E+9	-1.367709445953369E+1
3.044971892567145E+9	-1.361378288269043E+1
3.045284197376639E+9	-1.364934635162354E+1
3.045596502186134E+9	-1.359220790863037E+1
3.045908806995628E+9	-1.360846328735352E+1
3.046221111805122E+9	-1.361504459381104E+1
3.046533416614616E+9	-1.359434604644775E+1
3.046845721424110E+9	-1.355475807189941E+1
3.047158026233604E+9	-1.353334999084473E+1
3.047470331043098E+9	-1.347791004180908E+1
3.047782635852592E+9	-1.345269107818604E+1
