ATS 9870 settings:
S-param: S21	Power level: -3	Port 1 Attn: 10
Port 2 Attn: 0	Ref (dB): 10	Resolution (dB): 10
Averaging?: ON		Average count: 500

!DATASTR!
Freq	data 
(GHz)	(dB or deg.)
3.150000000000000E+9	-1.403633880615234E+1
3.150012492192380E+9	-1.405882835388184E+1
3.150024984384759E+9	-1.399517726898193E+1
3.150037476577139E+9	-1.399035739898682E+1
3.150049968769519E+9	-1.402795124053955E+1
3.150062460961899E+9	-1.398445224761963E+1
3.150074953154279E+9	-1.402769279479980E+1
3.150087445346658E+9	-1.392590427398682E+1
3.150099937539038E+9	-1.397815322875977E+1
3.150112429731418E+9	-1.405333423614502E+1
3.150124921923798E+9	-1.406226444244385E+1
3.150137414116178E+9	-1.404432582855225E+1
3.150149906308557E+9	-1.408049201965332E+1
3.150162398500937E+9	-1.410304927825928E+1
3.150174890693316E+9	-1.393633556365967E+1
3.150187382885696E+9	-1.391650772094727E+1
3.150199875078076E+9	-1.396329402923584E+1
3.150212367270456E+9	-1.391637325286865E+1
3.150224859462836E+9	-1.389391326904297E+1
3.150237351655215E+9	-1.391633319854736E+1
3.150249843847595E+9	-1.380974388122559E+1
3.150262336039975E+9	-1.385824298858643E+1
3.150274828232355E+9	-1.387441921234131E+1
3.150287320424735E+9	-1.388228797912598E+1
3.150299812617114E+9	-1.384492301940918E+1
3.150312304809494E+9	-1.383688735961914E+1
3.150324797001874E+9	-1.392870521545410E+1
3.150337289194253E+9	-1.396181011199951E+1
3.150349781386633E+9	-1.400912952423096E+1
3.150362273579013E+9	-1.395512580871582E+1
3.150374765771393E+9	-1.394715118408203E+1
3.150387257963773E+9	-1.392149639129639E+1
3.150399750156152E+9	-1.397842693328857E+1
3.150412242348532E+9	-1.399399566650391E+1
3.150424734540912E+9	-1.393130970001221E+1
3.150437226733292E+9	-1.401238441467285E+1
3.150449718925672E+9	-1.404263782501221E+1
3.150462211118051E+9	-1.403509140014648E+1
3.150474703310431E+9	-1.406078910827637E+1
3.150487195502811E+9	-1.409071540832520E+1
3.150499687695190E+9	-1.398117351531982E+1
3.150512179887570E+9	-1.407455921173096E+1
3.150524672079950E+9	-1.401243686676025E+1
3.150537164272330E+9	-1.407800102233887E+1
3.150549656464710E+9	-1.409566879272461E+1
3.150562148657089E+9	-1.401996803283691E+1
3.150574640849469E+9	-1.404194927215576E+1
3.150587133041849E+9	-1.406950092315674E+1
3.150599625234229E+9	-1.401435375213623E+1
3.150612117426609E+9	-1.403702449798584E+1
3.150624609618988E+9	-1.410963058471680E+1
3.150637101811368E+9	-1.405252647399902E+1
3.150649594003747E+9	-1.405080223083496E+1
3.150662086196127E+9	-1.408601665496826E+1
3.150674578388507E+9	-1.423951911926270E+1
3.150687070580887E+9	-1.416823673248291E+1
3.150699562773267E+9	-1.414377689361572E+1
3.150712054965646E+9	-1.411291503906250E+1
3.150724547158026E+9	-1.402025032043457E+1
3.150737039350406E+9	-1.414651489257812E+1
3.150749531542786E+9	-1.408355045318604E+1
3.150762023735166E+9	-1.416003608703613E+1
3.150774515927545E+9	-1.413381385803223E+1
3.150787008119925E+9	-1.406779289245605E+1
3.150799500312305E+9	-1.410156440734863E+1
3.150811992504684E+9	-1.414429759979248E+1
3.150824484697064E+9	-1.417932987213135E+1
3.150836976889444E+9	-1.420299530029297E+1
3.150849469081824E+9	-1.417448234558105E+1
3.150861961274204E+9	-1.419860172271729E+1
3.150874453466583E+9	-1.420712757110596E+1
3.150886945658963E+9	-1.412432193756104E+1
3.150899437851343E+9	-1.406907844543457E+1
3.150911930043723E+9	-1.408920097351074E+1
3.150924422236103E+9	-1.409045028686523E+1
3.150936914428482E+9	-1.407804775238037E+1
3.150949406620862E+9	-1.403965759277344E+1
3.150961898813242E+9	-1.404584121704102E+1
3.150974391005621E+9	-1.404120063781738E+1
3.150986883198001E+9	-1.408243656158447E+1
3.150999375390381E+9	-1.403031730651855E+1
3.151011867582761E+9	-1.404471588134766E+1
3.151024359775141E+9	-1.414039421081543E+1
3.151036851967520E+9	-1.409523582458496E+1
3.151049344159900E+9	-1.416050910949707E+1
3.151061836352280E+9	-1.404586219787598E+1
3.151074328544660E+9	-1.409308624267578E+1
3.151086820737040E+9	-1.413516616821289E+1
3.151099312929419E+9	-1.417555046081543E+1
3.151111805121799E+9	-1.419316291809082E+1
3.151124297314178E+9	-1.419800090789795E+1
3.151136789506558E+9	-1.421897697448730E+1
3.151149281698938E+9	-1.417079639434814E+1
3.151161773891318E+9	-1.411294460296631E+1
3.151174266083698E+9	-1.421900653839111E+1
3.151186758276077E+9	-1.420611095428467E+1
3.151199250468457E+9	-1.418794727325439E+1
3.151211742660837E+9	-1.421607208251953E+1
3.151224234853217E+9	-1.412216663360596E+1
3.151236727045597E+9	-1.416041088104248E+1
3.151249219237976E+9	-1.415196418762207E+1
3.151261711430356E+9	-1.409865283966064E+1
3.151274203622736E+9	-1.406026077270508E+1
3.151286695815115E+9	-1.404062271118164E+1
3.151299188007495E+9	-1.410758495330811E+1
3.151311680199875E+9	-1.404708862304687E+1
3.151324172392255E+9	-1.420614528656006E+1
3.151336664584635E+9	-1.411629199981689E+1
3.151349156777014E+9	-1.416177940368652E+1
3.151361648969394E+9	-1.413376998901367E+1
3.151374141161774E+9	-1.418240547180176E+1
3.151386633354154E+9	-1.421596431732178E+1
3.151399125546534E+9	-1.417217731475830E+1
3.151411617738913E+9	-1.416890716552734E+1
3.151424109931293E+9	-1.417776107788086E+1
3.151436602123672E+9	-1.415211296081543E+1
3.151449094316052E+9	-1.418213462829590E+1
3.151461586508432E+9	-1.419901657104492E+1
3.151474078700812E+9	-1.418007278442383E+1
3.151486570893192E+9	-1.420474243164062E+1
3.151499063085571E+9	-1.420530891418457E+1
3.151511555277951E+9	-1.417225551605225E+1
3.151524047470331E+9	-1.418554306030273E+1
3.151536539662711E+9	-1.415251064300537E+1
3.151549031855091E+9	-1.417477512359619E+1
3.151561524047470E+9	-1.419741821289062E+1
3.151574016239850E+9	-1.405199813842773E+1
3.151586508432230E+9	-1.408322238922119E+1
3.151599000624609E+9	-1.407394695281982E+1
3.151611492816989E+9	-1.403274822235107E+1
3.151623985009369E+9	-1.410290813446045E+1
3.151636477201749E+9	-1.412588787078857E+1
3.151648969394129E+9	-1.417496681213379E+1
3.151661461586508E+9	-1.408572196960449E+1
3.151673953778888E+9	-1.413619518280029E+1
3.151686445971268E+9	-1.409269332885742E+1
3.151698938163648E+9	-1.419664573669434E+1
