T	Rnor_JJ	Isw	E_J	E_J/kT	Isw_err	I_C_AB	Isw/I_AB	1-Isw/I_AB	log(EJ/KT)	log(1-I/IAB)	-2/3logEJ/KT
K	(\g(W\(41))	(A)	(K)		(A)	(A)					
0.03	937.6	9E-8	8.13031405976859	271.010468658953	--	3.40465412888132E-7	0.264344032001781	0.735655967998219	2.43298606723235	-0.133325237470726	-0.951990711488235
0.03	11620	1.49E-10	0.656022587129004	21.8674195709668		2.74716326268427E-8	0.00542377666533044	0.99457622333467	1.33979753785206	-0.00236192736598907	-0.223198358568038
0.03	20697	1.7E-11	0.368313401093831	12.2771133697944		1.54235092585357E-8	0.00110221349208137	0.998897786507919	1.08909626624011	-4.78949238161771E-4	-0.0560641774934076
0.03	174800	3.2E-13	0.0436097394876375	1.45365798292125		1.82620349613222E-9	1.75226912377366E-4	0.999824773087623	0.162462237607985	-7.61067492965328E-5	0.561691841594677
