Freq (GHz)	del S21 (fW)
3.061836e+00	2.815097e+00
3.062149e+00	2.515875e+00
3.062461e+00	2.623244e+00
3.062773e+00	2.628001e+00
3.063086e+00	2.759921e+00
3.063398e+00	2.642353e+00
3.063710e+00	2.513632e+00
3.064022e+00	2.372439e+00
3.064335e+00	2.547317e+00
3.064647e+00	2.470452e+00
3.064959e+00	2.412369e+00
3.065272e+00	2.350805e+00
3.065584e+00	2.471045e+00
3.065896e+00	2.504490e+00
3.066209e+00	2.405322e+00
3.066521e+00	2.289044e+00
3.066833e+00	2.021327e+00
3.067146e+00	2.172269e+00
3.067458e+00	1.950218e+00
3.067770e+00	1.897977e+00
3.068082e+00	2.229575e+00
3.068395e+00	2.100991e+00
3.068707e+00	2.154199e+00
3.069019e+00	2.106698e+00
3.069332e+00	2.108878e+00
3.069644e+00	1.967504e+00
3.069956e+00	1.820925e+00
3.070269e+00	1.911070e+00
3.070581e+00	2.015278e+00
3.070893e+00	1.799260e+00
3.071205e+00	1.932271e+00
3.071518e+00	1.941344e+00
3.071830e+00	1.964623e+00
3.072142e+00	1.775082e+00
3.072455e+00	1.832551e+00
3.072767e+00	1.752804e+00
3.073079e+00	1.910022e+00
3.073392e+00	1.800741e+00
3.073704e+00	1.762440e+00
3.074016e+00	1.695137e+00
3.074329e+00	1.645707e+00
3.074641e+00	1.668585e+00
3.074953e+00	1.421699e+00
3.075265e+00	1.502222e+00
3.075578e+00	1.398513e+00
3.075890e+00	1.324392e+00
3.076202e+00	1.125865e+00
3.076515e+00	1.443657e+00
3.076827e+00	1.550900e+00
3.077139e+00	1.294648e+00
3.077452e+00	1.278005e+00
3.077764e+00	1.438064e+00
3.078076e+00	1.516985e+00
3.078389e+00	1.204312e+00
3.078701e+00	1.185182e+00
3.079013e+00	1.431596e+00
3.079325e+00	1.328192e+00
3.079638e+00	1.299073e+00
3.079950e+00	1.279455e+00
3.080262e+00	1.314527e+00
3.080575e+00	1.201116e+00
3.080887e+00	1.146656e+00
3.081199e+00	1.160844e+00
3.081512e+00	1.101633e+00
3.081824e+00	1.006677e+00
3.082136e+00	9.590875e-01
3.082448e+00	8.690292e-01
3.082761e+00	1.289003e+00
3.083073e+00	9.811838e-01
3.083385e+00	8.520065e-01
3.083698e+00	1.054399e+00
3.084010e+00	9.300973e-01
3.084322e+00	4.715698e-01
3.084635e+00	8.472955e-01
3.084947e+00	8.067601e-01
3.085259e+00	8.013806e-01
3.085572e+00	8.200957e-01
3.085884e+00	8.158761e-01
3.086196e+00	6.844219e-01
3.086508e+00	6.590267e-01
3.086821e+00	5.854192e-01
3.087133e+00	6.090331e-01
3.087445e+00	6.886331e-01
3.087758e+00	6.876003e-01
3.088070e+00	8.057043e-01
3.088382e+00	8.639020e-01
3.088695e+00	5.173274e-01
3.089007e+00	4.992636e-01
3.089319e+00	6.227623e-01
3.089631e+00	3.546980e-01
3.089944e+00	3.970825e-01
3.090256e+00	4.492145e-01
3.090568e+00	2.787582e-01
3.090881e+00	3.486064e-01
3.091193e+00	3.897369e-01
3.091505e+00	5.109640e-01
3.091818e+00	4.083856e-01
3.092130e+00	2.716596e-01
3.092442e+00	3.802355e-01
3.092755e+00	4.182649e-01
3.093067e+00	2.530290e-01
3.093379e+00	2.715075e-01
3.093691e+00	5.504174e-01
3.094004e+00	4.676176e-01
3.094316e+00	5.699822e-01
3.094628e+00	5.829036e-01
3.094941e+00	3.414347e-01
3.095253e+00	4.484727e-01
3.095565e+00	4.341333e-01
3.095878e+00	2.562942e-01
3.096190e+00	3.396003e-01
3.096502e+00	2.296415e-01
3.096814e+00	6.897051e-02
3.097127e+00	2.462678e-01
3.097439e+00	2.483096e-01
3.097751e+00	4.682474e-01
3.098064e+00	5.647601e-01
3.098376e+00	2.035797e-01
3.098688e+00	3.565092e-01
3.099001e+00	4.775171e-01
3.099313e+00	5.475196e-01
3.099625e+00	5.687200e-01
3.099938e+00	5.601229e-01
3.100250e+00	4.332674e-01
3.100562e+00	6.153061e-01
3.100874e+00	6.708351e-01
3.101187e+00	5.443946e-01
3.101499e+00	7.442573e-01
3.101811e+00	6.615074e-01
3.102124e+00	8.455138e-01
3.102436e+00	9.011420e-01
3.102748e+00	8.296405e-01
3.103061e+00	9.116646e-01
3.103373e+00	9.707888e-01
3.103685e+00	8.932933e-01
3.103998e+00	1.085611e+00
3.104310e+00	8.797751e-01
3.104622e+00	1.068026e+00
3.104934e+00	7.770828e-01
3.105247e+00	9.146993e-01
