Profile 1             
x  y           
[m]     [m]         
0  2.1296072e-006            
1.9548805e-008  2.1293379e-006            
3.9097611e-008  2.1295465e-006            
5.8646416e-008  2.1295389e-006            
7.8195221e-008  2.1295521e-006            
9.7744027e-008  2.1297185e-006            
1.1729283e-007  2.1294973e-006            
1.3684164e-007  2.1287462e-006            
1.5639044e-007  2.1287236e-006            
1.7593925e-007  2.1288934e-006            
1.9548805e-007  2.1290743e-006            
2.1503686e-007  2.1323909e-006            
2.3458566e-007  2.1418259e-006            
2.5413447e-007  2.1366904e-006            
2.7368327e-007  2.1336162e-006            
2.9323208e-007  2.1344921e-006            
3.1278089e-007  2.1353904e-006            
3.3232969e-007  2.136304e-006            
3.518785e-007  2.1378735e-006            
3.714273e-007  2.1392171e-006            
3.9097611e-007  2.1401877e-006            
4.1052491e-007  2.1416125e-006            
4.3007372e-007  2.1437878e-006            
4.4962252e-007  2.1457119e-006            
4.6917133e-007  2.1476947e-006            
4.8872013e-007  2.149766e-006            
5.0826894e-007  2.1515938e-006            
5.2781774e-007  2.1540098e-006            
5.4736655e-007  2.159252e-006            
5.6691535e-007  2.161552e-006            
5.8646416e-007  2.1613971e-006            
6.0601297e-007  2.163467e-006            
6.2556177e-007  2.1655161e-006            
6.4511058e-007  2.1677447e-006            
6.6465938e-007  2.1677307e-006            
6.8420819e-007  2.1721202e-006            
7.0375699e-007  2.1741292e-006            
7.233058e-007  2.1736598e-006            
7.428546e-007  2.173187e-006            
7.6240341e-007  2.1745272e-006            
7.8195221e-007  2.1723189e-006            
8.0150102e-007  2.1716695e-006            
8.2104982e-007  2.1735943e-006            
8.4059863e-007  2.1745401e-006            
8.6014743e-007  2.1752801e-006            
8.7969624e-007  2.1756738e-006            
8.9924505e-007  2.1736424e-006            
9.1879385e-007  2.1754869e-006            
9.3834266e-007  2.1742395e-006            
9.5789146e-007  2.172835e-006            
9.7744027e-007  2.171707e-006            
9.9698907e-007  2.1737711e-006            
1.0165379e-006  2.1744177e-006            
1.0360867e-006  2.1707905e-006            
1.0556355e-006  2.1687631e-006            
1.0751843e-006  2.1670132e-006            
1.0947331e-006  2.1694504e-006            
1.1142819e-006  2.1779083e-006            
1.1338307e-006  2.1787441e-006            
1.1533795e-006  2.1682211e-006            
1.1729283e-006  2.1637777e-006            
1.1924771e-006  2.1633703e-006            
1.2120259e-006  2.1616462e-006            
1.2315747e-006  2.1584285e-006            
1.2511235e-006  2.1574137e-006            
1.2706723e-006  2.1551582e-006            
1.2902212e-006  2.1527973e-006            
1.30977e-006  2.149429e-006            
1.3293188e-006  2.1474647e-006            
1.3488676e-006  2.1440121e-006            
1.3684164e-006  2.1412569e-006            
1.3879652e-006  2.1391426e-006            
1.407514e-006  2.137462e-006            
1.4270628e-006  2.1360102e-006            
1.4466116e-006  2.1345634e-006            
1.4661604e-006  2.1340612e-006            
1.4857092e-006  2.1324898e-006            
1.505258e-006  2.1314009e-006            
1.5248068e-006  2.1314544e-006            
1.5443556e-006  2.137768e-006            
1.5639044e-006  2.1439986e-006            
1.5834532e-006  2.131285e-006            
1.603002e-006  2.1313272e-006            
1.6225508e-006  2.131192e-006            
1.6420996e-006  2.1309648e-006            
1.6616485e-006  2.1312466e-006            
1.6811973e-006  2.1314181e-006            
1.7007461e-006  2.13117e-006            
1.7202949e-006  2.1311339e-006            
1.7398437e-006  2.1312519e-006            
1.7593925e-006  2.1311146e-006            
1.7789413e-006  2.1313431e-006            
1.7984901e-006  2.1313426e-006            
1.8180389e-006  2.1314431e-006            
1.8375877e-006  2.1313246e-006            
1.8571365e-006  2.1312179e-006            
1.8766853e-006  2.1313324e-006            
1.8962341e-006  2.1313547e-006            
1.9157829e-006  2.1315643e-006            
1.9353317e-006  2.131443e-006            
1.9548805e-006  2.1312222e-006            
1.9744293e-006  2.131554e-006            
